Size, Unordered, Ordered, Almost ordered, Reverse ordered 
3580001,730112,279915,370154,270559, 
3600001,738546,269368,317736,269034, 
3620001,741569,270387,385705,272320, 
3640001,744308,272122,289675,273254, 
3660001,750885,271591,289356,275395, 
3680001,755708,274182,313319,273619, 
3700001,757254,275332,293764,274733, 
3720001,763681,276016,343810,277140, 
3740001,762984,278037,320053,278661, 
3760001,770052,281758,297296,280060, 
3780001,775002,280376,403439,282033, 
3800001,779206,281929,385844,281285, 
3820001,781473,284935,319450,283904, 
3840001,782923,285910,305760,286704, 
3860001,788740,287383,370867,287000, 
3880001,795467,288723,308873,291833, 
3900001,806418,290696,367399,292923, 
3920001,802824,293106,311916,291621, 
3940001,808598,307579,316978,294217, 
3960001,813517,294854,383256,295772, 
3980001,818388,296326,331726,295930, 
4000001,819906,297197,318675,297790, 
4020001,828558,299819,319439,299712, 
4040001,829163,302559,356296,301458, 
4060001,836248,304253,322791,303023, 
4080001,838700,303498,325221,304476, 
4100001,841869,304851,351618,304964, 
4120001,848021,338959,337442,307222, 
4140001,853551,306976,384191,307703, 
4160001,859792,308155,328979,307197, 
4180001,863376,308338,436942,309514, 
4200001,867446,308175,357357,309642, 
4220001,872105,311221,403481,311705, 
4240001,871917,313616,333636,312573, 
4260001,873217,314607,361269,313327, 
4280001,886962,315266,349733,364201, 
4300001,903418,318509,358437,318092, 
4320001,898957,319082,418436,318815, 
4340001,894026,322511,413989,322037, 
4360001,898254,323812,345133,323525, 
4380001,905337,327179,380527,326553, 
4400001,912504,326713,349360,326139, 
4420001,909702,328280,439550,328860, 
444000
