Size, Unordered, Ordered, Almost ordered, Reverse ordered 
3580001,735782,267636,287585,268546, 
3600001,740116,270708,298579,276911, 
3620001,747935,329469,334945,277956, 
3640001,781624,273527,296238,293514, 
3660001,751712,274359,291517,272942, 
3680001,757606,274037,298406,274910, 
3700001,764087,281587,355012,282897, 
3720001,774273,280562,359337,345335, 
3740001,768246,283290,427649,345905, 
3760001,778740,287717,300066,285776, 
3780001,813004,297350,309056,282065, 
3800001,814361,296918,334527,282729, 
3820001,856660,371271,320171,333027, 
3840001,831732,289312,381738,286663, 
3860001,820270,295059,314336,291071, 
3880001,808804,288327,377565,290701, 
3900001,800317,291496,314157,291803, 
3920001,806399,292647,377065,292296, 
3940001,836855,370557,363211,303288, 
3960001,946437,320301,374132,326677, 
3980001,894308,304711,325193,312788, 
4000001,861428,327437,324009,305272, 
4020001,830330,377434,378838,345871, 
4040001,1024334,338993,517182,590140, 
4060001,950798,337549,341227,326439, 
4080001,914746,325382,379497,339278, 
4100001,889076,326006,406133,317382, 
4120001,1076173,311324,383898,314337, 
4140001,876280,310860,348401,349533, 
4160001,876562,313419,417932,312541, 
4180001,861648,308789,410840,313872, 
4200001,867143,320089,462436,315296, 
4220001,890818,313895,385490,318169, 
4240001,881810,315315,335869,316130, 
4260001,890539,313877,336847,315087, 
4280001,905401,323644,423528,326828, 
4300001,898193,325453,359853,352758, 
4320001,971966,327192,356886,410494, 
4340001,993615,649949,389114,321673, 
4360001,929099,327275,447828,355487, 
4380001,927936,338660,416564,335287, 
4400001,919104,349216,427251,342902, 
4420001,933262,336124,361588,342530, 
4440001,922999,342158,419510,337534, 
4460001,931571,336783,359685,332505, 
4480001,932636,335188,365539,359484, 
4500001,981561,351453,412223,347398, 
4520001,938428,340030,408066,346656, 
4540001,946039,348227,374419,347515, 
4560001,962878,349745,406412,362223, 
4580001,989613,349174,374524,361989, 
4600001,998431,374143,508210,366198, 
4620001,1052772,366895,386355,356782, 
4640001,981966,363425,522267,365446, 
4660001,1003382,402823,527308,358339, 
4680001,976630,357054,388614,356689, 
4700001,988129,362734,436906,355716, 
4720001,994399,360015,447749,369493, 
4740001,1042583,363823,381139,358687, 
4760001,1012750,365835,394254,380109, 
4780001,1041577,366142,478137,414380, 
4800001,1045230,424022,560836,373242, 
4820001,1099666,397137,401025,369541, 
4840001,1045308,377425,467510,414178, 
4860001,1066464,389537,413953,377733, 
4880001,1107700,383658,510648,377778, 
4900001,1067289,379109,496319,389401, 
4920001,1065458,378265,405599,384416, 
4940001,1137166,397402,406793,388228, 
4960001,1259822,388738,416533,382834, 
4980001,1061501,425455,440720,402967, 
5000001,1110184,401764,495084,470246, 
5020001,1092550,478625,500761,437304, 
5040001,1152102,396615,596934,485764, 
5060001,1223883,399647,491921,396966, 
5080001,1095555,430969,452254,410934, 
5100001,1130222,418719,525107,431719, 
5120001,1122758,417406,541492,404289, 
5140001,1107619,414137,619298,447057, 
5160001,1144110,421711,513892,442015, 
5180001,1407858,424159,423731,397119, 
5200001,1089505,457097,434486,401105, 
5220001,1152839,461065,643469,399917, 
5240001,1128736,410699,515754,430692, 
5260001,1158949,404620,430839,403822, 
5280001,1096614,400983,509501,402657, 
5300001,1110619,406511,509133,430200, 
5320001,1182515,410176,504039,410254, 
5340001,1158859,426063,572305,427483, 
5360001,1275976,521870,818320,559154, 
5380001,1237957,438963,462284,431448, 
5400001,1178937,468677,482965,724066, 
5420001,1284975,452908,495842,443138, 
5440001,1220662,540812,677423,474703, 
5460001,1147562,432408,498075,428110, 
5480001,1154196,420450,543516,442529, 
5500001,1209859,675308,767881,447680, 
5520001,1150809,434050,667517,527632, 
5540001,1514784,590679,890592,440311, 
5560001,1162496,429242,460894,439499, 
5580001,1215732,431280,470588,488901, 
5600001,1216409,432699,503640,439139, 
5620001,1179672,435416,516352,437852, 
5640001,1199790,437592,567610,437921, 
5660001,1184992,439047,519342,496788, 
5680001,1321296,441147,572814,442408, 
5700001,1195378,441947,611342,453234, 
5720001,1226726,464964,653233,490570, 
5740001,1212355,457757,596947,455672, 
5760001,1260480,456549,579243,457531, 
5780001,1276681,482421,656617,530993, 
5800001,1340001,549099,513890,481821, 
5820001,1353425,494487,537896,661033, 
5840001,1492414,511715,485974,501882, 
